"articulo_wikipedia","link_completo","links"
"Discusión:Primaleón","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/D2NGUE8D3NX79514PQIS6598LNS4EI.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/D2NGUE8D3NX79514PQIS6598LNS4EI.pdf "
"Discusión:Banco Nacional de México","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/AALKGN8EL4I64LPPCXAIQS7C8J3RP6.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/AALKGN8EL4I64LPPCXAIQS7C8J3RP6.pdf "
"Discusión:Patagonia","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/D2NGUE8D3NX79514PQIS6598LNS4EI.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/D2NGUE8D3NX79514PQIS6598LNS4EI.pdf "
"Patagonia","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/D2NGUE8D3NX79514PQIS6598LNS4EI.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/D2NGUE8D3NX79514PQIS6598LNS4EI.pdf "
"Central de Trabajadores de la Argentina","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/YEPXPPCK1RXKDYCVE1VIMJP78PD9JS.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/YEPXPPCK1RXKDYCVE1VIMJP78PD9JS.pdf "
"El Colegio de México","http://biblio.colmex.mx/ ","http://biblio.colmex.mx/ "
"Biblioteca Daniel Cosío Villegas","http://biblio.colmex.mx/coordserv/s_interb.htm ","http://biblio.colmex.mx/coordserv/s_interb.htm "
"Usuario discusión:Billyrobshaw/Archivo 8","http://biblio.colmex.mx/diglibrary/normas_estilo/normgrales.html ","http://biblio.colmex.mx/diglibrary/normas_estilo/normgrales.html "
"Ario Garza Mercado","http://biblio.colmex.mx/tesisBDCV/GonzalezEsquivel.pdf ","http://biblio.colmex.mx/tesisBDCV/GonzalezEsquivel.pdf "
"Christopher Chase-Dunn","http://biblio.colmex.mx/web2000/socio-h.htm ","http://biblio.colmex.mx/web2000/socio-h.htm "
"Nahuatlismo","http://biblio2.colmex.mx/bibdig/aztequismos/base1.htm ","http://biblio2.colmex.mx/bibdig/aztequismos/base1.htm "
"Acuayte","http://biblio2.colmex.mx/bibdig/aztequismos/base1.htm ","http://biblio2.colmex.mx/bibdig/aztequismos/base1.htm "
"Culiacán","http://biblio2.colmex.mx/bibdig/aztequismos1/base1.htm ","http://biblio2.colmex.mx/bibdig/aztequismos1/base1.htm "
"Cristóbal Guadalajara","http://biblio2.colmex.mx/bibdig/dicc_cubas/base3.htm ","http://biblio2.colmex.mx/bibdig/dicc_cubas/base3.htm "
"Conferencias Panamericanas","http://biblio2.colmex.mx/coinam/coinam_1889_1936/base2.htm ","http://biblio2.colmex.mx/coinam/coinam_1889_1936/base2.htm "
